거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,석관동,단독다가구,298.9185231934575
2014,1Q,석관동,아파트,443.9540948732735
2014,1Q,석관동,연립다세대,368.13920388600934
2014,1Q,석촌동,단독다가구,463.5734050069413
2014,1Q,석촌동,아파트,771.3203821867392
2014,1Q,석촌동,연립다세대,530.8807053439726
2014,1Q,석촌동,오피스텔,294.11764705882354
2014,1Q,성내동,단독다가구,314.8547492222297
2014,1Q,성내동,아파트,547.0295841128876
2014,1Q,성내동,연립다세대,466.99346549252186
2014,1Q,성내동,오피스텔,501.0798673901071
2014,1Q,성북동,단독다가구,849.8650799866278
2014,1Q,성북동,아파트,348.26418290825364
2014,1Q,성북동,연립다세대,508.7862718685333
2014,1Q,성북동1가,단독다가구,833.746519783765
2014,1Q,성북동1가,연립다세대,397.64044111979445
2014,1Q,성북동1가,오피스텔,430.2502768582374
2014,1Q,성산동,단독다가구,316.1913992965742
2014,1Q,성산동,아파트,588.6463084803326
2014,1Q,성산동,연립다세대,357.32225118354285
2014,1Q,성산동,오피스텔,514.3555566117822
2014,1Q,성수동1가,단독다가구,534.8333572261055
2014,1Q,성수동1가,아파트,796.9777845980805
2014,1Q,성수동1가,연립다세대,800.1819661596385
2014,1Q,성수동1가,오피스텔,496.69184720547656
2014,1Q,성수동2가,단독다가구,574.1246102889347
2014,1Q,성수동2가,아파트,569.6132833195412
2014,1Q,성수동2가,연립다세대,485.2999207238892
2014,1Q,성수동2가,오피스텔,753.0510666827729
2014,1Q,세곡동,단독다가구,589.0772957498349
2014,1Q,세곡동,아파트,662.4477988681432
2014,1Q,송정동,단독다가구,285.82741855220974
2014,1Q,송정동,아파트,451.8959802863467
2014,1Q,송정동,연립다세대,350.36374158545146
2014,1Q,송파동,아파트,677.1703014005026
2014,1Q,송파동,연립다세대,523.8429155148103
2014,1Q,송파동,오피스텔,565.5142979086642
2014,1Q,수색동,단독다가구,364.55523467852134
2014,1Q,수색동,아파트,410.01041700026263
2014,1Q,수색동,연립다세대,374.6853854773445
2014,1Q,수서동,아파트,829.6148124576537
2014,1Q,수서동,오피스텔,547.8203788574261
2014,1Q,수송동,아파트,870.0102354145343
